bundle	merge_mode	path
B01-provider-core	auto-compose	.env.example
B01-provider-core	clean-port	controller/scripts/cloud-tts-provider-key.test.ts
B01-provider-core	clean-port	controller/scripts/embedding-provider-config.test.ts
B01-provider-core	clean-port	controller/scripts/litellm-cache.test.ts
B01-provider-core	clean-port	controller/scripts/litellm-config.test.ts
B01-provider-core	clean-port	controller/scripts/litellm-routes.test.ts
B01-provider-core	clean-port	controller/scripts/model-discovery-ownership.test.ts
B01-provider-core	clean-port	controller/scripts/settings-route-security.test.ts
B01-provider-core	clean-port	controller/src/llm/internal/provider/capabilities.ts
B01-provider-core	clean-port	controller/src/llm/internal/provider/embedding.ts
B01-provider-core	clean-port	controller/src/llm/internal/provider/legs.ts
B01-provider-core	clean-port	controller/src/llm/internal/provider/registry.ts
B01-provider-core	clean-port	controller/src/llm/internal/speech/cloud-speech.ts
B01-provider-core	clean-port	controller/src/llm/provider.ts
B01-provider-core	clean-port	controller/src/llm/sdk.ts
B01-provider-core	clean-port	controller/src/llm/speech.ts
B01-provider-core	clean-port	controller/src/litellm-config.ts
B01-provider-core	clean-port	controller/src/routes/onboarding.ts
B01-provider-core	clean-port	controller/src/routes/settings.ts
B01-provider-core	clean-port	controller/src/routes/settings/core.ts
B01-provider-core	clean-port	controller/src/routes/settings/llm.ts
B01-provider-core	clean-port	controller/src/routes/settings/model-discovery.ts
B01-provider-core	clean-port	controller/src/routes/settings/station.ts
B01-provider-core	clean-port	controller/src/routes/settings/tts.ts
B01-provider-core	auto-compose	controller/src/settings.ts
B01-provider-core	clean-port	controller/src/settings/defaults.ts
B01-provider-core	clean-port	controller/src/settings/liquidsoap.ts
B01-provider-core	clean-port	controller/src/settings/normalize.ts
B01-provider-core	clean-port	controller/src/settings/persona.ts
B01-provider-core	clean-port	controller/src/settings/store.ts
B01-provider-core	clean-port	controller/src/settings/validate.ts
B01-provider-core	clean-port	controller/src/settings/vocab.ts
B01-provider-core	clean-port	scripts/ci/upstream-v048-structure.test.mjs
B02-analyzer-library	clean-port	controller/scripts/analyze_worker.py
B02-analyzer-library	clean-port	controller/scripts/analyze-quiet.test.ts
B02-analyzer-library	clean-port	controller/scripts/analyze-worker-audio.test.py
B02-analyzer-library	clean-port	controller/scripts/embedding-bulk.test.ts
B02-analyzer-library	auto-compose	controller/src/music/analyze.ts
B02-analyzer-library	clean-port	controller/src/music/embedding-bulk.ts
B02-analyzer-library	clean-port	controller/src/music/embeddings.ts
B02-analyzer-library	auto-compose	controller/src/music/library-db/audio-moods.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/browse.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/handle.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/legacy.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/lifecycle.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/meta.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/plays.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/queries.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/rows.ts
B02-analyzer-library	auto-compose	controller/src/music/library-db/schema.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/stats.ts
B02-analyzer-library	auto-compose	controller/src/music/library-db/tracks.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/types.ts
B02-analyzer-library	clean-port	controller/src/music/library-db/vectors.ts
B02-analyzer-library	clean-port	controller/src/music/tag-library/embed.ts
B02-analyzer-library	clean-port	controller/src/music/tag-library/enrich.ts
B02-analyzer-library	clean-port	controller/src/music/tag-library/flags.ts
B02-analyzer-library	clean-port	controller/src/music/tag-library/tag.ts
B03-controller-runtime	auto-compose	controller/scripts/llm-pure.test.ts
B03-controller-runtime	clean-port	controller/scripts/playlist-jobs.test.ts
B03-controller-runtime	clean-port	controller/scripts/programme.test.ts
B03-controller-runtime	clean-port	controller/scripts/request-strict.test.ts
B03-controller-runtime	clean-port	controller/scripts/stations-switch-guard.test.ts
B03-controller-runtime	clean-port	controller/scripts/stream-buffer-formats.test.ts
B03-controller-runtime	clean-port	controller/scripts/stream-buffer-settings.test.ts
B03-controller-runtime	clean-port	controller/scripts/voice-policy.test.ts
B03-controller-runtime	clean-port	controller/src/broadcast/dj-agent/agents.ts
B03-controller-runtime	clean-port	controller/src/broadcast/dj-agent/breaker.ts
B03-controller-runtime	auto-compose	controller/src/broadcast/dj-agent/enqueue.ts
B03-controller-runtime	clean-port	controller/src/broadcast/dj-agent/runs.ts
B03-controller-runtime	clean-port	controller/src/broadcast/dj-agent/schemas.ts
B03-controller-runtime	clean-port	controller/src/broadcast/programme-pure.ts
B03-controller-runtime	clean-port	controller/src/broadcast/programme.ts
B03-controller-runtime	clean-port	controller/src/broadcast/queue.ts
B03-controller-runtime	clean-port	controller/src/broadcast/queue/kinds.ts
B03-controller-runtime	clean-port	controller/src/broadcast/queue/pure.ts
B03-controller-runtime	clean-port	controller/src/broadcast/queue/types.ts
B03-controller-runtime	clean-port	controller/src/broadcast/queue/voice-io.ts
B03-controller-runtime	clean-port	controller/src/broadcast/stream-buffer.ts
B03-controller-runtime	clean-port	controller/src/doctor.ts
B03-controller-runtime	clean-port	controller/src/doctor/cache.ts
B03-controller-runtime	clean-port	controller/src/doctor/checks-content.ts
B03-controller-runtime	clean-port	controller/src/doctor/checks-services.ts
B03-controller-runtime	auto-compose	controller/src/doctor/checks-station.ts
B03-controller-runtime	clean-port	controller/src/doctor/review.ts
B03-controller-runtime	auto-compose	controller/src/doctor/types.ts
B03-controller-runtime	clean-port	controller/src/doctor/util.ts
B03-controller-runtime	clean-port	controller/src/music/playlist-jobs.ts
B03-controller-runtime	clean-port	controller/src/routes/public.ts
B03-controller-runtime	clean-port	controller/src/routes/request-strict.ts
B03-controller-runtime	clean-port	controller/src/routes/request.ts
B03-controller-runtime	clean-port	controller/src/routes/stations.ts
B03-controller-runtime	clean-port	controller/src/skills/_agent.ts
B03-controller-runtime	clean-port	controller/src/stations/lifecycle.ts
B04-provider-web	clean-port	web/components/admin/settings/LibrarySection.tsx
B04-provider-web	clean-port	web/components/admin/settings/LlmSection.tsx
B04-provider-web	auto-compose	web/components/admin/settings/shared.tsx
B04-provider-web	clean-port	web/components/admin/settings/TtsSection.tsx
B04-provider-web	clean-port	web/components/onboarding/providerState.ts
B04-provider-web	clean-port	web/components/onboarding/steps.tsx
B04-provider-web	clean-port	web/components/onboarding/useWizard.ts
B04-provider-web	clean-port	web/hooks/useModelDiscovery.ts
B04-provider-web	clean-port	web/hooks/useVoiceDiscovery.ts
B04-provider-web	clean-port	web/lib/asyncResultGeneration.ts
B04-provider-web	clean-port	web/lib/managedKeyProbe.ts
B04-provider-web	clean-port	web/lib/modelDiscoveryRequest.ts
B04-provider-web	clean-port	web/lib/voiceDiscoveryRequest.ts
B04-provider-web	clean-port	web/scripts/async-result-generation.test.ts
B04-provider-web	clean-port	web/scripts/llm-provider-meta.test.ts
B04-provider-web	clean-port	web/scripts/llm-section-provider-url-contract.test.ts
B04-provider-web	clean-port	web/scripts/managed-key-probe.test.ts
B04-provider-web	clean-port	web/scripts/model-discovery-request.test.ts
B04-provider-web	clean-port	web/scripts/onboarding-provider-state.test.ts
B05-web-player-auth	clean-port	web/components/player/PlayerCore.tsx
B05-web-player-auth	clean-port	web/components/player/PlayerShell.tsx
B05-web-player-auth	clean-port	web/components/player/StationGate.tsx
B05-web-player-auth	clean-port	web/components/skins/classic/ClassicSkin.tsx
B05-web-player-auth	clean-port	web/components/skins/classic/CommandPalette.tsx
B05-web-player-auth	clean-port	web/components/skins/classic/DotRail.tsx
B05-web-player-auth	clean-port	web/components/skins/classic/drawers/AudioDrawer.tsx
B05-web-player-auth	clean-port	web/hooks/usePlayer.ts
B05-web-player-auth	clean-port	web/hooks/useStationFeed.ts
B05-web-player-auth	clean-port	web/lib/audioFormat.ts
B05-web-player-auth	clean-port	web/lib/playerAudioBinding.ts
B05-web-player-auth	clean-port	web/lib/stationAuth.ts
B05-web-player-auth	clean-port	web/lib/stationClient.ts
B05-web-player-auth	clean-port	web/lib/stationOrigin.ts
B05-web-player-auth	clean-port	web/scripts/audio-format.test.ts
B05-web-player-auth	clean-port	web/scripts/stream-auth-format.test.ts
B06-web-admin-ui	auto-compose	web/app/globals.css
B06-web-admin-ui	auto-compose	web/CLAUDE.md
B06-web-admin-ui	clean-port	web/components/admin/AdminShell.tsx
B06-web-admin-ui	clean-port	web/components/admin/dash/bits.tsx
B06-web-admin-ui	clean-port	web/components/admin/dash/LikesCard.tsx
B06-web-admin-ui	clean-port	web/components/admin/dash/RequestsCard.tsx
B06-web-admin-ui	clean-port	web/components/admin/dash/types.ts
B06-web-admin-ui	clean-port	web/components/admin/debug/bits.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/BudgetMeter.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/DjContext.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/FilesTable.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/format.ts
B06-web-admin-ui	clean-port	web/components/admin/debug/LlmCalls.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/MountsTable.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/SessionChat.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/SubsonicCalls.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/TtsPanels.tsx
B06-web-admin-ui	clean-port	web/components/admin/debug/types.ts
B06-web-admin-ui	clean-port	web/components/admin/library/AddToPlaylistBar.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/bits.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/BlockedTab.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/BrowseFilters.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/HistoryTab.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/ManualTagEditor.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/Tabs.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/TrackTable.tsx
B06-web-admin-ui	clean-port	web/components/admin/library/types.ts
B04-provider-web	clean-port	web/components/admin/llm/providerMeta.ts
B06-web-admin-ui	clean-port	web/components/admin/playlist-builder/bits.tsx
B06-web-admin-ui	clean-port	web/components/admin/playlist-builder/EnergyGraph.tsx
B06-web-admin-ui	clean-port	web/components/admin/playlist-builder/generate.ts
B06-web-admin-ui	clean-port	web/components/admin/playlist-builder/types.ts
B06-web-admin-ui	clean-port	web/components/admin/schedule/lib.ts
B06-web-admin-ui	clean-port	web/components/admin/schedule/SchedulePanel.tsx
B04-provider-web	auto-compose	web/components/admin/SettingsPanel.tsx
B06-web-admin-ui	clean-port	web/components/admin/shows/ChipRow.tsx
B06-web-admin-ui	clean-port	web/components/admin/shows/lib.ts
B06-web-admin-ui	clean-port	web/components/admin/shows/ShowAvatar.tsx
B06-web-admin-ui	clean-port	web/components/admin/shows/ShowDefRow.tsx
B06-web-admin-ui	clean-port	web/components/admin/shows/ShowEditor.tsx
B06-web-admin-ui	clean-port	web/components/admin/shows/types.ts
B06-web-admin-ui	clean-port	web/components/admin/ShowsPanel.tsx
B06-web-admin-ui	clean-port	web/hooks/useUnsavedGuard.ts
B06-web-admin-ui	clean-port	web/lib/guardedNavigation.ts
B05-web-player-auth	clean-port	web/lib/types.ts
B06-web-admin-ui	auto-compose	web/package.json
B06-web-admin-ui	clean-port	web/public/sw.js
B06-web-admin-ui	clean-port	web/scripts/admin-navigation-schedule-contract.test.ts
B04-provider-web	clean-port	web/tsconfig.json
B07-native-app	clean-port	app/CLAUDE.md
B07-native-app	clean-port	app/docs/TESTING.md
B07-native-app	clean-port	app/package-lock.json
B07-native-app	clean-port	app/package.json
B07-native-app	clean-port	app/scripts/station-credentials.test.mjs
B07-native-app	clean-port	app/scripts/stream-buffer-format.test.mjs
B07-native-app	clean-port	app/src/app/onboarding.tsx
B07-native-app	clean-port	app/src/app/stations.tsx
B07-native-app	clean-port	app/src/components/ErrorScreen.tsx
